Date,Agent Name,District,Area,Province,NLB Sales Ticket,DLB Sales Ticket,Total Sales Ticket,NLB LKR,DLB LKR,Total LKR
8/3/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8805,4325,13130,352200,173000,525200
8/4/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7200,3538,10738,288000,141520,429520
8/5/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3708,8277,11985,148320,331080,479400
8/6/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3110,1930,5040,124400,77200,201600
8/7/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1344,5668,7012,53760,226720,280480
8/8/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9987,7592,17579,399480,303680,703160
8/9/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6988,2112,9100,279520,84480,364000
8/10/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3408,6891,10299,136320,275640,411960
8/11/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5048,4147,9195,201920,165880,367800
8/12/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7165,7193,14358,286600,287720,574320
8/13/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4469,8888,13357,178760,355520,534280
8/14/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7206,9446,16652,288240,377840,666080
8/15/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8427,9450,17877,337080,378000,715080
8/16/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9654,8379,18033,386160,335160,721320
8/17/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3411,1560,4971,136440,62400,198840
8/18/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4703,6458,11161,188120,258320,446440
8/19/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5921,9229,15150,236840,369160,606000
8/20/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5194,1942,7136,207760,77680,285440
8/21/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4446,1290,5736,177840,51600,229440
8/22/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9768,1581,11349,390720,63240,453960
8/23/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7738,5349,13087,309520,213960,523480
8/24/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5080,6073,11153,203200,242920,446120
8/25/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,563,6321,6884,22520,252840,275360
8/26/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5669,1803,7472,226760,72120,298880
8/27/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6933,3165,10098,277320,126600,403920
8/28/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9398,6779,16177,375920,271160,647080
8/29/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,652,2725,3377,26080,109000,135080
8/30/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2874,3185,6059,114960,127400,242360
8/31/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3944,925,4869,157760,37000,194760
9/1/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2251,7588,9839,90040,303520,393560
9/2/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3991,3630,7621,159640,145200,304840
9/3/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8912,853,9765,356480,34120,390600
9/4/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2472,3237,5709,98880,129480,228360
9/5/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5273,9815,15088,210920,392600,603520
9/6/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8857,5391,14248,354280,215640,569920
9/7/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5764,9229,14993,230560,369160,599720
9/8/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4803,7867,12670,192120,314680,506800
9/9/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8607,3705,12312,344280,148200,492480
9/10/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4722,7845,12567,188880,313800,502680
9/11/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3586,6141,9727,143440,245640,389080
9/12/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8298,1900,10198,331920,76000,407920
9/13/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2231,5625,7856,89240,225000,314240
9/14/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5246,1007,6253,209840,40280,250120
9/15/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9131,1050,10181,365240,42000,407240
9/16/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2856,4202,7058,114240,168080,282320
9/17/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1805,3494,5299,72200,139760,211960
9/18/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6984,995,7979,279360,39800,319160
9/19/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3152,3021,6173,126080,120840,246920
9/20/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,584,107,691,23360,4280,27640
9/21/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,788,1580,2368,31520,63200,94720
9/22/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5522,122,5644,220880,4880,225760
9/23/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6685,6618,13303,267400,264720,532120
9/24/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8577,3421,11998,343080,136840,479920
9/25/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5156,6577,11733,206240,263080,469320
9/26/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,746,1547,2293,29840,61880,91720
9/27/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7077,5749,12826,283080,229960,513040
9/28/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5027,9956,14983,201080,398240,599320
9/29/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4830,3881,8711,193200,155240,348440
9/30/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8984,4208,13192,359360,168320,527680
10/1/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6624,5915,12539,264960,236600,501560
10/2/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6184,5549,11733,247360,221960,469320
10/3/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4000,4067,8067,160000,162680,322680
10/4/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1502,4958,6460,60080,198320,258400
10/5/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4553,9300,13853,182120,372000,554120
10/6/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3012,1127,4139,120480,45080,165560
10/7/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7405,4004,11409,296200,160160,456360
10/8/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4020,4622,8642,160800,184880,345680
10/9/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8413,1850,10263,336520,74000,410520
10/10/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6339,9197,15536,253560,367880,621440
10/11/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2184,3334,5518,87360,133360,220720
10/12/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9105,6836,15941,364200,273440,637640
10/13/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3427,424,3851,137080,16960,154040
10/14/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3185,3866,7051,127400,154640,282040
10/15/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3184,5344,8528,127360,213760,341120
10/16/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9759,3494,13253,390360,139760,530120
10/17/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8411,8768,17179,336440,350720,687160
10/18/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2581,4160,6741,103240,166400,269640
10/19/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6728,9504,16232,269120,380160,649280
10/20/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3133,9966,13099,125320,398640,523960
10/21/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5669,1681,7350,226760,67240,294000
10/22/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,323,3498,3821,12920,139920,152840
10/23/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2071,7646,9717,82840,305840,388680
10/24/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3094,6619,9713,123760,264760,388520
10/25/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1424,3766,5190,56960,150640,207600
10/26/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3433,7010,10443,137320,280400,417720
10/27/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8238,2837,11075,329520,113480,443000
10/28/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6453,3850,10303,258120,154000,412120
10/29/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3842,5289,9131,153680,211560,365240
10/30/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1790,7442,9232,71600,297680,369280
10/31/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3702,9766,13468,148080,390640,538720
11/1/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5447,6481,11928,217880,259240,477120
11/2/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1478,7943,9421,59120,317720,376840
11/3/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4334,3515,7849,173360,140600,313960
11/4/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4323,2148,6471,172920,85920,258840
11/5/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3505,7311,10816,140200,292440,432640
11/6/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3177,9009,12186,127080,360360,487440
11/7/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9290,7962,17252,371600,318480,690080
11/8/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7628,8579,16207,305120,343160,648280
11/9/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2370,3819,6189,94800,152760,247560
11/10/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2232,7166,9398,89280,286640,375920
11/11/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5393,1542,6935,215720,61680,277400
11/12/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1264,5478,6742,50560,219120,269680
11/13/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6891,3099,9990,275640,123960,399600
11/14/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4047,3784,7831,161880,151360,313240
11/15/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1737,4466,6203,69480,178640,248120
11/16/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6450,3027,9477,258000,121080,379080
11/17/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1504,4398,5902,60160,175920,236080
11/18/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5966,9238,15204,238640,369520,608160
11/19/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1253,9879,11132,50120,395160,445280
11/20/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8683,9005,17688,347320,360200,707520
11/21/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7511,4674,12185,300440,186960,487400
11/22/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7179,3869,11048,287160,154760,441920
11/23/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1855,3974,5829,74200,158960,233160
11/24/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,612,3891,4503,24480,155640,180120
11/25/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5154,2022,7176,206160,80880,287040
11/26/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9676,9507,19183,387040,380280,767320
11/27/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8067,4300,12367,322680,172000,494680
11/28/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6903,6193,13096,276120,247720,523840
11/29/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6188,7358,13546,247520,294320,541840
11/30/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2349,9804,12153,93960,392160,486120
12/1/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8918,6508,15426,356720,260320,617040
12/2/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5464,5369,10833,218560,214760,433320
12/3/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8238,2963,11201,329520,118520,448040
12/4/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5697,5388,11085,227880,215520,443400
12/5/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5107,8291,13398,204280,331640,535920
12/6/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9360,8477,17837,374400,339080,713480
12/7/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5427,294,5721,217080,11760,228840
12/8/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3678,4658,8336,147120,186320,333440
12/9/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3819,677,4496,152760,27080,179840
12/10/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5919,8738,14657,236760,349520,586280
12/11/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6767,2053,8820,270680,82120,352800
12/12/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8287,148,8435,331480,5920,337400
12/13/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1076,2506,3582,43040,100240,143280
12/14/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3561,3599,7160,142440,143960,286400
12/15/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9601,737,10338,384040,29480,413520
12/16/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1183,4545,5728,47320,181800,229120
12/17/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,7081,2433,9514,283240,97320,380560
12/18/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,200,3188,3388,8000,127520,135520
12/19/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3452,5607,9059,138080,224280,362360
12/20/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8670,6176,14846,346800,247040,593840
12/21/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,1022,753,1775,40880,30120,71000
12/22/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,6682,779,7461,267280,31160,298440
12/23/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3790,9425,13215,151600,377000,528600
12/24/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,3714,2400,6114,148560,96000,244560
12/25/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,2241,3655,5896,89640,146200,235840
12/26/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,9329,4012,13341,373160,160480,533640
12/27/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,900,767,1667,36000,30680,66680
12/28/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,4485,4850,9335,179400,194000,373400
12/29/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8143,6116,14259,325720,244640,570360
12/30/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,8323,9031,17354,332920,361240,694160
12/31/2024,Dilanthi Jayasinghe,Kandy,Gampola,Central,5176,7097,12273,207040,283880,490920
1/1/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6427,5783,12210,257080,231320,488400
1/2/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9529,1605,11134,381160,64200,445360
1/3/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4722,6939,11661,188880,277560,466440
1/4/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6320,3311,9631,252800,132440,385240
1/5/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9201,1459,10660,368040,58360,426400
1/6/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4345,4282,8627,173800,171280,345080
1/7/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4714,2200,6914,188560,88000,276560
1/8/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2910,1400,4310,116400,56000,172400
1/9/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,842,5649,6491,33680,225960,259640
1/10/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5218,2949,8167,208720,117960,326680
1/11/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5890,9472,15362,235600,378880,614480
1/12/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8548,4894,13442,341920,195760,537680
1/13/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1688,2147,3835,67520,85880,153400
1/14/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5976,9504,15480,239040,380160,619200
1/15/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,702,3830,4532,28080,153200,181280
1/16/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,7042,479,7521,281680,19160,300840
1/17/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4047,3795,7842,161880,151800,313680
1/18/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4221,8990,13211,168840,359600,528440
1/19/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4927,7651,12578,197080,306040,503120
1/20/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4835,7569,12404,193400,302760,496160
1/21/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,227,6664,6891,9080,266560,275640
1/22/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1296,412,1708,51840,16480,68320
1/23/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8748,6742,15490,349920,269680,619600
1/24/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5600,9181,14781,224000,367240,591240
1/25/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3756,8830,12586,150240,353200,503440
1/26/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,7078,2419,9497,283120,96760,379880
1/27/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6974,1072,8046,278960,42880,321840
1/28/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9613,4547,14160,384520,181880,566400
1/29/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2523,1543,4066,100920,61720,162640
1/30/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,7482,9587,17069,299280,383480,682760
1/31/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3632,3598,7230,145280,143920,289200
2/1/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9324,2559,11883,372960,102360,475320
2/2/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5316,623,5939,212640,24920,237560
2/3/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2324,4596,6920,92960,183840,276800
2/4/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9864,156,10020,394560,6240,400800
2/5/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1505,8030,9535,60200,321200,381400
2/6/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4859,1306,6165,194360,52240,246600
2/7/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1382,990,2372,55280,39600,94880
2/8/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,22,2492,2514,880,99680,100560
2/9/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6612,7767,14379,264480,310680,575160
2/10/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3034,25,3059,121360,1000,122360
2/11/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9703,9680,19383,388120,387200,775320
2/12/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5808,8509,14317,232320,340360,572680
2/13/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5709,5571,11280,228360,222840,451200
2/14/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,769,3145,3914,30760,125800,156560
2/15/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6056,2036,8092,242240,81440,323680
2/16/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9268,1732,11000,370720,69280,440000
2/17/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6436,4525,10961,257440,181000,438440
2/18/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3996,5625,9621,159840,225000,384840
2/19/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9229,5140,14369,369160,205600,574760
2/20/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6726,8866,15592,269040,354640,623680
2/21/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,7402,2660,10062,296080,106400,402480
2/22/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,479,1513,1992,19160,60520,79680
2/23/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8215,4476,12691,328600,179040,507640
2/24/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3301,32,3333,132040,1280,133320
2/25/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,113,9716,9829,4520,388640,393160
2/26/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2292,3516,5808,91680,140640,232320
2/27/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6168,5846,12014,246720,233840,480560
2/28/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,5306,3733,9039,212240,149320,361560
3/1/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1047,8823,9870,41880,352920,394800
3/2/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2781,3162,5943,111240,126480,237720
3/3/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1074,5986,7060,42960,239440,282400
3/4/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,425,1779,2204,17000,71160,88160
3/5/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4093,1848,5941,163720,73920,237640
3/6/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1064,4095,5159,42560,163800,206360
3/7/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,6646,3271,9917,265840,130840,396680
3/8/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8742,6907,15649,349680,276280,625960
3/9/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8023,5873,13896,320920,234920,555840
3/10/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9459,9597,19056,378360,383880,762240
3/11/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2383,3029,5412,95320,121160,216480
3/12/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,687,1689,2376,27480,67560,95040
3/13/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3619,9981,13600,144760,399240,544000
3/14/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4615,9654,14269,184600,386160,570760
3/15/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2410,576,2986,96400,23040,119440
3/16/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2979,9972,12951,119160,398880,518040
3/17/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,8523,3266,11789,340920,130640,471560
3/18/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4872,9258,14130,194880,370320,565200
3/19/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,2918,5327,8245,116720,213080,329800
3/20/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,9326,438,9764,373040,17520,390560
3/21/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,4185,7417,11602,167400,296680,464080
3/22/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,3726,2933,6659,149040,117320,266360
3/23/2025,Dilanthi Jayasinghe,Kandy,Gampola,Central,1418,8126,9544,56720,325040,381760
3/25/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,8138,9387,17525,325520,375480,701000
3/26/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,1300,2322,3622,52000,92880,144880
3/27/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,4871,103,4974,194840,4120,198960
3/28/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,4962,4733,9695,198480,189320,387800
3/29/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,9532,2835,12367,381280,113400,494680
3/30/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2130,4564,6694,85200,182560,267760
3/31/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,8556,6913,15469,342240,276520,618760
4/1/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,5854,2713,8567,234160,108520,342680
4/2/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,3781,3167,6948,151240,126680,277920
4/3/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,3043,5524,8567,121720,220960,342680
4/4/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,7086,3534,10620,283440,141360,424800
4/5/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,8992,3637,12629,359680,145480,505160
4/6/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,746,3964,4710,29840,158560,188400
4/7/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2939,6851,9790,117560,274040,391600
4/8/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,5901,7313,13214,236040,292520,528560
4/9/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,5677,2966,8643,227080,118640,345720
4/10/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2608,6185,8793,104320,247400,351720
4/11/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,8831,2025,10856,353240,81000,434240
4/19/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,1067,5563,6630,42680,222520,265200
4/20/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,9629,5077,14706,385160,203080,588240
4/21/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,4922,6259,11181,196880,250360,447240
4/22/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,8783,9985,18768,351320,399400,750720
4/23/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,3952,550,4502,158080,22000,180080
4/24/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,4421,7060,11481,176840,282400,459240
4/25/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2566,6419,8985,102640,256760,359400
4/26/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,1006,3609,4615,40240,144360,184600
4/27/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2283,196,2479,91320,7840,99160
4/28/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,542,6423,6965,21680,256920,278600
4/29/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,3547,3740,7287,141880,149600,291480
4/30/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,6705,9805,16510,268200,392200,660400
5/1/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,9773,6439,16212,390920,257560,648480
5/2/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,6102,6336,12438,244080,253440,497520
5/3/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,6971,1693,8664,278840,67720,346560
5/4/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,9656,6813,16469,386240,272520,658760
5/5/2024,Nimali Hettiarachchi,Mannar,Adampan,Northern,2447,1833,4280,97880,73320,171200
